rank,title,views,subscribers,videos
1,MrBeast,1.17E+11,476000000,963
2,T-Series,3.37E+11,311000000,25816
3,Cocomelon - Nursery Rhymes,2.20E+11,200000000,1964
4,SET India,1.87E+11,189000000,168847
5,Vlad and Niki,1.20E+11,149000000,1007
6,✿ Kids Diana Show,1.24E+11,138000000,1596
7,Stokes Twins,29586430358,138000000,433
8,Like Nastya Stories,7844997240,15600000,764
9,김프로KIMPRO,1.38E+11,131000000,4021
10,Zee Music Company,87226314323,122000000,16021
11,WWE,1.03E+11,112000000,92353
12,Alejo Igoa,33730332908,111000000,1317
13,PewDiePie,29487357972,110000000,4660
14,Goldmines,31911561247,109000000,13412
15,Sony SAB,1.42E+11,105000000,109769
16,Alan's Universe,60715936253,100000000,1641
17,BLACKPINK,41756433903,100000000,666
18,ChuChu TV Nursery Rhymes & Kids Songs,58944852062,98100000,1089
19,Zee TV,1.15E+11,97500000,231894
20,A4,37214205773,92700000,1040
21,Topper Guild,31015966579,86700000,1448
22,Baby Shark - Pinkfong Kids’ Songs & Stories,54913135739,84400000,3835
23,BANGTANTV,27378073523,83600000,2998
24,KL BRO Biju Rithvik,95699512801,83000000,3683
25,Toys and Colors,1.17E+11,82300000,1800
26,ZAMZAM BROTHERS OFFICIAL ,42209982306,82300000,22636
27,Colors TV,1580068690,82000000,76005
28,T-Series Bhakti Sagar,46919999030,81800000,32004
29,Tips Official,54848435645,81100000,9600
30,5-Minute Crafts,28468609365,80800000,8122
31,HYBE LABELS,44660899040,80700000,3097
32,UR · Cristiano,975359551,78500000,131
33,Justin Bieber,37547851046,77300000,278
34,Aaj Tak HD,3042292567,7640000,99481
35,Mark Rober,16263106942,74800000,252
36,Shemaroo Filmi Gaane,35196106092,74400000,10014
37,ISSEI / いっせい,63951567054,73800000,4569
38,Fede Vigevani,25061415126,73300000,1675
39,HAR PAL GEO,80168334367,72400000,203619
40,Bispo Bruno Leonardo,10987979524,72300000,9421
41,Infobells - Hindi,47479970072,72200000,927
42,YRF,57093034331,71600000,4925
43,El Reino Infantil,72430790292,71000000,2100
44,Sony Music India,61898337701,70600000,11853
45,Anaya Kandhal,97910109099,70200000,3955
46,WaveMusic,2843943881,4870000,2583
47,Zhong,23336142094,69400000,2312
48,YOLO AVENTURAS,27964131304,68200000,3310
49,Canal KondZilla,40264534728,68000000,3581
50,ARY Digital HD,73823183165,67600000,221839
51,EminemMusic,36924540137,66600000,210
52,Movieclips,69120335053,66000000,44502
53,Taylor Swift,44563826204,63100000,658
54,PANDA BOI,27395813247,62400000,1284
55,LooLoo Kids - Nursery Rhymes and Children's Songs,40603443431,61900000,956
56,Dude Perfect,20387712183,61900000,558
57,Shemaroo,27853923343,61500000,13700
58,Saregama Music,33097147384,61400000,10581
59,Dangal TV Channel,57768193110,61300000,50666
60,आचार्य प्रशान्त - Acharya Prashant,5664074897,60100000,19320
61,Маша и Медведь,53386866051,59900000,2553
62,SonyMusicIndiaVEVO,38908839609,59700000,3812
63,ToRung,12266900275,59500000,347
64,Ed Sheeran,37681666045,59000000,751
65,Marshmello,17743119735,58500000,566
66,Alfredo Larin,60491218588,58300000,2192
67,Mikecrack,21671030720,58200000,2240
68,JioHotstar Kids,17458838279,58200000,3599
69,Billie Eilish,22135482158,57900000,183
70,Billion Surprise Toys,14930613927,57900000,2075
71,Get Movies,37944524467,57000000,4376
72,Ariana Grande,31516818275,57000000,232
73,MrBeast 2,10215348941,56800000,218
74,StarPlus,65394245457,56300000,130887
75,shfa,36219563632,55800000,1365
76,Celine Dept,52426375506,55600000,2124
77,Juan De Dios Pantoja,9205394465,55500000,506
78,MrBeast Gaming,10568504656,55300000,170
79,JuegaGerman,18226495091,55200000,2441
80,ABS-CBN Entertainment,58747121116,54800000,254483
81,माशा एंड द बेयर,8719837751,15900000,1929
82,Jess No Limit,7220924170,54500000,2810
83,HUM TV,51364009256,53900000,209226
84,shfa2 - شفا,37935379522,53400000,2057
85,LUCCAS NETO,15247311602,53400000,4969
86,Ishtar Music,28235554499,53100000,6425
87,Bad Bunny,46575719019,52600000,190
88,Real fools shorts official,19010244385,52600000,549
89,T-Series Bollywood Classics,39602733319,52300000,2954
90,IShowSpeed,7701092446,52200000,1829
91,BETER BÖCÜK,15416902539,51800000,2290
92,Sierra & Rhia FAM,90787836529,51300000,2228
93,Techno Gamerz,15623266951,51000000,1163
94,MR. INDIAN HACKER,9961943577,50500000,1306
95,IndiaTV Cricket,226663612,468000,29554
96,ABPLIVE,12045855907,30900000,318441
97,Karla Bustillos,15639050326,50300000,1736
98,Fernanfloo,11053364848,50300000,582
99,Maria Clara & JP,35181301851,50200000,1184
100,PowerKids TV,30817177882,50200000,9190
101,Shakira,35614010425,50100000,404
102,Dushyant kukreja,34481054679,49900000,1766
103,Genevieve's Playhouse - Learning Videos for Kids,41211024071,49700000,718
104,BeatboxJCOP,26880211789,49300000,1501
105,Ben Azelart,12456511946,49300000,405
106,Goldmines Gaane Sune Ansune,17644875341,49000000,3202
107,Ricis Official,8120325095,49000000,6256
108,AboFlah,8559527351,48900000,825
109,Shorts Break,41369523272,48400000,960
110,Speed Records,35948947162,48400000,13121
111,Felipe Neto,19413628062,47800000,6228
112,BEN EAGLE,36360207353,47700000,11830
113,Badabun,20163711943,47600000,28814
114,Alan Walker,16770241971,47400000,1001
115,Sony PAL,38181591610,47100000,34956
116,skibidi,20328965356,47100000,317
117,Você Sabia?,8583652443,47100000,1892
118,Ultra Bollywood,18358294899,47000000,10150
119,Katy Perry,29762032432,46800000,210
120,Frost Diamond,14286792834,46700000,4589
121,dednahype,45964423690,46400000,5741
122,Super Simple Songs - Kids Songs,61245473367,46100000,877
123,Priyal Kukreja,34788900733,46200000,1646
124,Jingle Toons,16271999390,46100000,292
125,Enaldinho,24171989739,45900000,5534
126,Rihanna,28679918226,45700000,92
127,Masha y el Oso,28157450653,45700000,2193
128,Luisito Comunica,11621888234,45700000,1467
129,Total Gaming,5094020543,45600000,573
130,La Granja de Zenón,40113122473,45500000,1240
131,CarryMinati,4370581387,45500000,207
132,Akshay Nagwadiya,15442515520,45400000,1531
133,Vlad và Niki,28892672616,45200000,841
134,Kids Videos,3150570675,5510000,2492
135,★ Kids Roma Show,21141151103,44700000,989
136,BRIGHT SIDE,11844011641,44600000,11365
137,whinderssonnunes,4730881417,44600000,1366
138,ช่อง one31,34683462521,44600000,203206
